build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
repne-fork,c1_ctx0,120.14,65.0,69.3,8.191,122.1,0.4148,0.0054
repne-fork,c1_ctx131072,93.69,783.0,790.6,10.174,98.3,0.6944,0.0725
repne-fork,c2_ctx0,223.83,241.8,838.2,8.154,122.6,0.6466,0.0116
repne-fork,c2_ctx131072,183.41,1102.2,1543.8,10.487,95.4,0.5602,0.0791
repne-fork,c4_ctx0,449.46,126.7,199.1,8.551,116.9,0.5758,0.0240
repne-fork,c4_ctx131072,347.44,1911.7,3310.6,11.021,90.7,0.5429,0.0911
upstream-v0.20.1,c1_ctx0,112.27,68.7,73.5,8.845,113.1,0.5159,0.0063
upstream-v0.20.1,c1_ctx131072,98.96,766.8,767.4,9.774,102.3,0.4474,0.0732
upstream-v0.20.1,c2_ctx0,197.03,395.1,1301.6,9.820,101.8,0.4878,0.0117
upstream-v0.20.1,c2_ctx131072,183.93,1104.4,1413.2,10.357,96.6,0.4369,0.0799
upstream-v0.20.1,c4_ctx0,413.81,156.0,378.3,9.561,104.6,0.4939,0.0251
upstream-v0.20.1,c4_ctx131072,344.97,2050.4,3251.0,11.056,90.4,0.5952,0.0916
